left,top,right,bottom,id
239832.5585418254777323,5075982.2705281060189009,239932.5585418254777323,5076082.2705281060189009,"1"
239832.5585418254777323,5075882.2705281060189009,239932.5585418254777323,5075982.2705281060189009,"2"
239832.5585418254777323,5075782.2705281060189009,239932.5585418254777323,5075882.2705281060189009,"3"
239832.5585418254777323,5075682.2705281060189009,239932.5585418254777323,5075782.2705281060189009,"4"
239832.5585418254777323,5075582.2705281060189009,239932.5585418254777323,5075682.2705281060189009,"5"
239832.5585418254777323,5075482.2705281060189009,239932.5585418254777323,5075582.2705281060189009,"6"
239832.5585418254777323,5075382.2705281060189009,239932.5585418254777323,5075482.2705281060189009,"7"
239832.5585418254777323,5075282.2705281060189009,239932.5585418254777323,5075382.2705281060189009,"8"
239832.5585418254777323,5075182.2705281060189009,239932.5585418254777323,5075282.2705281060189009,"9"
239832.5585418254777323,5075082.2705281060189009,239932.5585418254777323,5075182.2705281060189009,"10"
239832.5585418254777323,5074982.2705281060189009,239932.5585418254777323,5075082.2705281060189009,"11"
239832.5585418254777323,5074882.2705281060189009,239932.5585418254777323,5074982.2705281060189009,"12"
239832.5585418254777323,5074782.2705281060189009,239932.5585418254777323,5074882.2705281060189009,"13"
239832.5585418254777323,5074682.2705281060189009,239932.5585418254777323,5074782.2705281060189009,"14"
239832.5585418254777323,5074582.2705281060189009,239932.5585418254777323,5074682.2705281060189009,"15"
239832.5585418254777323,5074482.2705281060189009,239932.5585418254777323,5074582.2705281060189009,"16"
239832.5585418254777323,5074382.2705281060189009,239932.5585418254777323,5074482.2705281060189009,"17"
239832.5585418254777323,5074282.2705281060189009,239932.5585418254777323,5074382.2705281060189009,"18"
239832.5585418254777323,5074182.2705281060189009,239932.5585418254777323,5074282.2705281060189009,"19"
239832.5585418254777323,5074082.2705281060189009,239932.5585418254777323,5074182.2705281060189009,"20"
239832.5585418254777323,5073982.2705281060189009,239932.5585418254777323,5074082.2705281060189009,"21"
239832.5585418254777323,5073882.2705281060189009,239932.5585418254777323,5073982.2705281060189009,"22"
239832.5585418254777323,5073782.2705281060189009,239932.5585418254777323,5073882.2705281060189009,"23"
239832.5585418254777323,5073682.2705281060189009,239932.5585418254777323,5073782.2705281060189009,"24"
239832.5585418254777323,5073582.2705281060189009,239932.5585418254777323,5073682.2705281060189009,"25"
239832.5585418254777323,5073482.2705281060189009,239932.5585418254777323,5073582.2705281060189009,"26"
239832.5585418254777323,5073382.2705281060189009,239932.5585418254777323,5073482.2705281060189009,"27"
239832.5585418254777323,5073282.2705281060189009,239932.5585418254777323,5073382.2705281060189009,"28"
239832.5585418254777323,5073182.2705281060189009,239932.5585418254777323,5073282.2705281060189009,"29"
239832.5585418254777323,5073082.2705281060189009,239932.5585418254777323,5073182.2705281060189009,"30"
239832.5585418254777323,5072982.2705281060189009,239932.5585418254777323,5073082.2705281060189009,"31"
239832.5585418254777323,5072882.2705281060189009,239932.5585418254777323,5072982.2705281060189009,"32"
239832.5585418254777323,5072782.2705281060189009,239932.5585418254777323,5072882.2705281060189009,"33"
239832.5585418254777323,5072682.2705281060189009,239932.5585418254777323,5072782.2705281060189009,"34"
239832.5585418254777323,5072582.2705281060189009,239932.5585418254777323,5072682.2705281060189009,"35"
239832.5585418254777323,5072482.2705281060189009,239932.5585418254777323,5072582.2705281060189009,"36"
239832.5585418254777323,5072382.2705281060189009,239932.5585418254777323,5072482.2705281060189009,"37"
239832.5585418254777323,5072282.2705281060189009,239932.5585418254777323,5072382.2705281060189009,"38"
239832.5585418254777323,5072182.2705281060189009,239932.5585418254777323,5072282.2705281060189009,"39"
239832.5585418254777323,5072082.2705281060189009,239932.5585418254777323,5072182.2705281060189009,"40"
239832.5585418254777323,5071982.2705281060189009,239932.5585418254777323,5072082.2705281060189009,"41"
239832.5585418254777323,5071882.2705281060189009,239932.5585418254777323,5071982.2705281060189009,"42"
239832.5585418254777323,5071782.2705281060189009,239932.5585418254777323,5071882.2705281060189009,"43"
239832.5585418254777323,5071682.2705281060189009,239932.5585418254777323,5071782.2705281060189009,"44"
239832.5585418254777323,5071582.2705281060189009,239932.5585418254777323,5071682.2705281060189009,"45"
239832.5585418254777323,5071482.2705281060189009,239932.5585418254777323,5071582.2705281060189009,"46"
239832.5585418254777323,5071382.2705281060189009,239932.5585418254777323,5071482.2705281060189009,"47"
239832.5585418254777323,5071282.2705281060189009,239932.5585418254777323,5071382.2705281060189009,"48"
239832.5585418254777323,5071182.2705281060189009,239932.5585418254777323,5071282.2705281060189009,"49"
239832.5585418254777323,5071082.2705281060189009,239932.5585418254777323,5071182.2705281060189009,"50"
239832.5585418254777323,5070982.2705281060189009,239932.5585418254777323,5071082.2705281060189009,"51"
239832.5585418254777323,5070882.2705281060189009,239932.5585418254777323,5070982.2705281060189009,"52"
239832.5585418254777323,5070782.2705281060189009,239932.5585418254777323,5070882.2705281060189009,"53"
239832.5585418254777323,5070682.2705281060189009,239932.5585418254777323,5070782.2705281060189009,"54"
239832.5585418254777323,5070582.2705281060189009,239932.5585418254777323,5070682.2705281060189009,"55"
239832.5585418254777323,5070482.2705281060189009,239932.5585418254777323,5070582.2705281060189009,"56"
239832.5585418254777323,5070382.2705281060189009,239932.5585418254777323,5070482.2705281060189009,"57"
239832.5585418254777323,5070282.2705281060189009,239932.5585418254777323,5070382.2705281060189009,"58"
239832.5585418254777323,5070182.2705281060189009,239932.5585418254777323,5070282.2705281060189009,"59"
239832.5585418254777323,5070082.2705281060189009,239932.5585418254777323,5070182.2705281060189009,"60"
239832.5585418254777323,5069982.2705281060189009,239932.5585418254777323,5070082.2705281060189009,"61"
239832.5585418254777323,5069882.2705281060189009,239932.5585418254777323,5069982.2705281060189009,"62"
239832.5585418254777323,5069782.2705281060189009,239932.5585418254777323,5069882.2705281060189009,"63"
239832.5585418254777323,5069682.2705281060189009,239932.5585418254777323,5069782.2705281060189009,"64"
239832.5585418254777323,5069582.2705281060189009,239932.5585418254777323,5069682.2705281060189009,"65"
239832.5585418254777323,5069482.2705281060189009,239932.5585418254777323,5069582.2705281060189009,"66"
239932.5585418254777323,5075982.2705281060189009,240032.5585418254777323,5076082.2705281060189009,"67"
239932.5585418254777323,5075882.2705281060189009,240032.5585418254777323,5075982.2705281060189009,"68"
239932.5585418254777323,5075782.2705281060189009,240032.5585418254777323,5075882.2705281060189009,"69"
239932.5585418254777323,5075682.2705281060189009,240032.5585418254777323,5075782.2705281060189009,"70"
239932.5585418254777323,5075582.2705281060189009,240032.5585418254777323,5075682.2705281060189009,"71"
239932.5585418254777323,5075482.2705281060189009,240032.5585418254777323,5075582.2705281060189009,"72"
239932.5585418254777323,5075382.2705281060189009,240032.5585418254777323,5075482.2705281060189009,"73"
