left,top,right,bottom,id
240622.5070775811036583,5074898.3876534691080451,241122.5070775811036583,5075398.3876534691080451,"1"
240622.5070775811036583,5074398.3876534691080451,241122.5070775811036583,5074898.3876534691080451,"2"
240622.5070775811036583,5073898.3876534691080451,241122.5070775811036583,5074398.3876534691080451,"3"
240622.5070775811036583,5073398.3876534691080451,241122.5070775811036583,5073898.3876534691080451,"4"
240622.5070775811036583,5072898.3876534691080451,241122.5070775811036583,5073398.3876534691080451,"5"
240622.5070775811036583,5072398.3876534691080451,241122.5070775811036583,5072898.3876534691080451,"6"
241122.5070775811036583,5074898.3876534691080451,241622.5070775811036583,5075398.3876534691080451,"7"
241122.5070775811036583,5074398.3876534691080451,241622.5070775811036583,5074898.3876534691080451,"8"
241122.5070775811036583,5073898.3876534691080451,241622.5070775811036583,5074398.3876534691080451,"9"
241122.5070775811036583,5073398.3876534691080451,241622.5070775811036583,5073898.3876534691080451,"10"
241122.5070775811036583,5072898.3876534691080451,241622.5070775811036583,5073398.3876534691080451,"11"
241122.5070775811036583,5072398.3876534691080451,241622.5070775811036583,5072898.3876534691080451,"12"
241622.5070775811036583,5074898.3876534691080451,242122.5070775811036583,5075398.3876534691080451,"13"
241622.5070775811036583,5074398.3876534691080451,242122.5070775811036583,5074898.3876534691080451,"14"
241622.5070775811036583,5073898.3876534691080451,242122.5070775811036583,5074398.3876534691080451,"15"
241622.5070775811036583,5073398.3876534691080451,242122.5070775811036583,5073898.3876534691080451,"16"
241622.5070775811036583,5072898.3876534691080451,242122.5070775811036583,5073398.3876534691080451,"17"
241622.5070775811036583,5072398.3876534691080451,242122.5070775811036583,5072898.3876534691080451,"18"
242122.5070775811036583,5074898.3876534691080451,242622.5070775811036583,5075398.3876534691080451,"19"
242122.5070775811036583,5074398.3876534691080451,242622.5070775811036583,5074898.3876534691080451,"20"
242122.5070775811036583,5073898.3876534691080451,242622.5070775811036583,5074398.3876534691080451,"21"
242122.5070775811036583,5073398.3876534691080451,242622.5070775811036583,5073898.3876534691080451,"22"
242122.5070775811036583,5072898.3876534691080451,242622.5070775811036583,5073398.3876534691080451,"23"
242122.5070775811036583,5072398.3876534691080451,242622.5070775811036583,5072898.3876534691080451,"24"
242622.5070775811036583,5074898.3876534691080451,243122.5070775811036583,5075398.3876534691080451,"25"
242622.5070775811036583,5074398.3876534691080451,243122.5070775811036583,5074898.3876534691080451,"26"
242622.5070775811036583,5073898.3876534691080451,243122.5070775811036583,5074398.3876534691080451,"27"
242622.5070775811036583,5073398.3876534691080451,243122.5070775811036583,5073898.3876534691080451,"28"
242622.5070775811036583,5072898.3876534691080451,243122.5070775811036583,5073398.3876534691080451,"29"
242622.5070775811036583,5072398.3876534691080451,243122.5070775811036583,5072898.3876534691080451,"30"
243122.5070775811036583,5074898.3876534691080451,243622.5070775811036583,5075398.3876534691080451,"31"
243122.5070775811036583,5074398.3876534691080451,243622.5070775811036583,5074898.3876534691080451,"32"
243122.5070775811036583,5073898.3876534691080451,243622.5070775811036583,5074398.3876534691080451,"33"
243122.5070775811036583,5073398.3876534691080451,243622.5070775811036583,5073898.3876534691080451,"34"
243122.5070775811036583,5072898.3876534691080451,243622.5070775811036583,5073398.3876534691080451,"35"
243122.5070775811036583,5072398.3876534691080451,243622.5070775811036583,5072898.3876534691080451,"36"
243622.5070775811036583,5074898.3876534691080451,244122.5070775811036583,5075398.3876534691080451,"37"
243622.5070775811036583,5074398.3876534691080451,244122.5070775811036583,5074898.3876534691080451,"38"
243622.5070775811036583,5073898.3876534691080451,244122.5070775811036583,5074398.3876534691080451,"39"
243622.5070775811036583,5073398.3876534691080451,244122.5070775811036583,5073898.3876534691080451,"40"
243622.5070775811036583,5072898.3876534691080451,244122.5070775811036583,5073398.3876534691080451,"41"
243622.5070775811036583,5072398.3876534691080451,244122.5070775811036583,5072898.3876534691080451,"42"
244122.5070775811036583,5074898.3876534691080451,244622.5070775811036583,5075398.3876534691080451,"43"
244122.5070775811036583,5074398.3876534691080451,244622.5070775811036583,5074898.3876534691080451,"44"
244122.5070775811036583,5073898.3876534691080451,244622.5070775811036583,5074398.3876534691080451,"45"
244122.5070775811036583,5073398.3876534691080451,244622.5070775811036583,5073898.3876534691080451,"46"
244122.5070775811036583,5072898.3876534691080451,244622.5070775811036583,5073398.3876534691080451,"47"
244122.5070775811036583,5072398.3876534691080451,244622.5070775811036583,5072898.3876534691080451,"48"
