left,top,right,bottom,id
245231.8241901895962656,5072584.8399538528174162,245331.8241901895962656,5072684.8399538528174162,1
245231.8241901895962656,5072484.8399538528174162,245331.8241901895962656,5072584.8399538528174162,2
245231.8241901895962656,5072384.8399538528174162,245331.8241901895962656,5072484.8399538528174162,3
245231.8241901895962656,5072284.8399538528174162,245331.8241901895962656,5072384.8399538528174162,4
245231.8241901895962656,5072184.8399538528174162,245331.8241901895962656,5072284.8399538528174162,5
245231.8241901895962656,5072084.8399538528174162,245331.8241901895962656,5072184.8399538528174162,6
245231.8241901895962656,5071984.8399538528174162,245331.8241901895962656,5072084.8399538528174162,7
245231.8241901895962656,5071884.8399538528174162,245331.8241901895962656,5071984.8399538528174162,8
245231.8241901895962656,5071784.8399538528174162,245331.8241901895962656,5071884.8399538528174162,9
245331.8241901895962656,5072584.8399538528174162,245431.8241901895962656,5072684.8399538528174162,10
245331.8241901895962656,5072484.8399538528174162,245431.8241901895962656,5072584.8399538528174162,11
245331.8241901895962656,5072384.8399538528174162,245431.8241901895962656,5072484.8399538528174162,12
245331.8241901895962656,5072284.8399538528174162,245431.8241901895962656,5072384.8399538528174162,13
245331.8241901895962656,5072184.8399538528174162,245431.8241901895962656,5072284.8399538528174162,14
245331.8241901895962656,5072084.8399538528174162,245431.8241901895962656,5072184.8399538528174162,15
245331.8241901895962656,5071984.8399538528174162,245431.8241901895962656,5072084.8399538528174162,16
245331.8241901895962656,5071884.8399538528174162,245431.8241901895962656,5071984.8399538528174162,17
245331.8241901895962656,5071784.8399538528174162,245431.8241901895962656,5071884.8399538528174162,18
245431.8241901895962656,5072584.8399538528174162,245531.8241901895962656,5072684.8399538528174162,19
245431.8241901895962656,5072484.8399538528174162,245531.8241901895962656,5072584.8399538528174162,20
245431.8241901895962656,5072384.8399538528174162,245531.8241901895962656,5072484.8399538528174162,21
245431.8241901895962656,5072284.8399538528174162,245531.8241901895962656,5072384.8399538528174162,22
245431.8241901895962656,5072184.8399538528174162,245531.8241901895962656,5072284.8399538528174162,23
245431.8241901895962656,5072084.8399538528174162,245531.8241901895962656,5072184.8399538528174162,24
245431.8241901895962656,5071984.8399538528174162,245531.8241901895962656,5072084.8399538528174162,25
245431.8241901895962656,5071884.8399538528174162,245531.8241901895962656,5071984.8399538528174162,26
245431.8241901895962656,5071784.8399538528174162,245531.8241901895962656,5071884.8399538528174162,27
245531.8241901895962656,5072584.8399538528174162,245631.8241901895962656,5072684.8399538528174162,28
245531.8241901895962656,5072484.8399538528174162,245631.8241901895962656,5072584.8399538528174162,29
245531.8241901895962656,5072384.8399538528174162,245631.8241901895962656,5072484.8399538528174162,30
245531.8241901895962656,5072284.8399538528174162,245631.8241901895962656,5072384.8399538528174162,31
245531.8241901895962656,5072184.8399538528174162,245631.8241901895962656,5072284.8399538528174162,32
245531.8241901895962656,5072084.8399538528174162,245631.8241901895962656,5072184.8399538528174162,33
245531.8241901895962656,5071984.8399538528174162,245631.8241901895962656,5072084.8399538528174162,34
245531.8241901895962656,5071884.8399538528174162,245631.8241901895962656,5071984.8399538528174162,35
245531.8241901895962656,5071784.8399538528174162,245631.8241901895962656,5071884.8399538528174162,36
245631.8241901895962656,5072584.8399538528174162,245731.8241901895962656,5072684.8399538528174162,37
245631.8241901895962656,5072484.8399538528174162,245731.8241901895962656,5072584.8399538528174162,38
245631.8241901895962656,5072384.8399538528174162,245731.8241901895962656,5072484.8399538528174162,39
245631.8241901895962656,5072284.8399538528174162,245731.8241901895962656,5072384.8399538528174162,40
245631.8241901895962656,5072184.8399538528174162,245731.8241901895962656,5072284.8399538528174162,41
245631.8241901895962656,5072084.8399538528174162,245731.8241901895962656,5072184.8399538528174162,42
245631.8241901895962656,5071984.8399538528174162,245731.8241901895962656,5072084.8399538528174162,43
245631.8241901895962656,5071884.8399538528174162,245731.8241901895962656,5071984.8399538528174162,44
245631.8241901895962656,5071784.8399538528174162,245731.8241901895962656,5071884.8399538528174162,45
245731.8241901895962656,5072584.8399538528174162,245831.8241901895962656,5072684.8399538528174162,46
245731.8241901895962656,5072484.8399538528174162,245831.8241901895962656,5072584.8399538528174162,47
245731.8241901895962656,5072384.8399538528174162,245831.8241901895962656,5072484.8399538528174162,48
245731.8241901895962656,5072284.8399538528174162,245831.8241901895962656,5072384.8399538528174162,49
245731.8241901895962656,5072184.8399538528174162,245831.8241901895962656,5072284.8399538528174162,50
245731.8241901895962656,5072084.8399538528174162,245831.8241901895962656,5072184.8399538528174162,51
245731.8241901895962656,5071984.8399538528174162,245831.8241901895962656,5072084.8399538528174162,52
245731.8241901895962656,5071884.8399538528174162,245831.8241901895962656,5071984.8399538528174162,53
245731.8241901895962656,5071784.8399538528174162,245831.8241901895962656,5071884.8399538528174162,54
245831.8241901895962656,5072584.8399538528174162,245931.8241901895962656,5072684.8399538528174162,55
245831.8241901895962656,5072484.8399538528174162,245931.8241901895962656,5072584.8399538528174162,56
245831.8241901895962656,5072384.8399538528174162,245931.8241901895962656,5072484.8399538528174162,57
245831.8241901895962656,5072284.8399538528174162,245931.8241901895962656,5072384.8399538528174162,58
245831.8241901895962656,5072184.8399538528174162,245931.8241901895962656,5072284.8399538528174162,59
245831.8241901895962656,5072084.8399538528174162,245931.8241901895962656,5072184.8399538528174162,60
245831.8241901895962656,5071984.8399538528174162,245931.8241901895962656,5072084.8399538528174162,61
245831.8241901895962656,5071884.8399538528174162,245931.8241901895962656,5071984.8399538528174162,62
245831.8241901895962656,5071784.8399538528174162,245931.8241901895962656,5071884.8399538528174162,63
245931.8241901895962656,5072584.8399538528174162,246031.8241901895962656,5072684.8399538528174162,64
245931.8241901895962656,5072484.8399538528174162,246031.8241901895962656,5072584.8399538528174162,65
245931.8241901895962656,5072384.8399538528174162,246031.8241901895962656,5072484.8399538528174162,66
245931.8241901895962656,5072284.8399538528174162,246031.8241901895962656,5072384.8399538528174162,67
245931.8241901895962656,5072184.8399538528174162,246031.8241901895962656,5072284.8399538528174162,68
245931.8241901895962656,5072084.8399538528174162,246031.8241901895962656,5072184.8399538528174162,69
245931.8241901895962656,5071984.8399538528174162,246031.8241901895962656,5072084.8399538528174162,70
245931.8241901895962656,5071884.8399538528174162,246031.8241901895962656,5071984.8399538528174162,71
245931.8241901895962656,5071784.8399538528174162,246031.8241901895962656,5071884.8399538528174162,72
246031.8241901895962656,5072584.8399538528174162,246131.8241901895962656,5072684.8399538528174162,73
246031.8241901895962656,5072484.8399538528174162,246131.8241901895962656,5072584.8399538528174162,74
246031.8241901895962656,5072384.8399538528174162,246131.8241901895962656,5072484.8399538528174162,75
246031.8241901895962656,5072284.8399538528174162,246131.8241901895962656,5072384.8399538528174162,76
246031.8241901895962656,5072184.8399538528174162,246131.8241901895962656,5072284.8399538528174162,77
246031.8241901895962656,5072084.8399538528174162,246131.8241901895962656,5072184.8399538528174162,78
246031.8241901895962656,5071984.8399538528174162,246131.8241901895962656,5072084.8399538528174162,79
246031.8241901895962656,5071884.8399538528174162,246131.8241901895962656,5071984.8399538528174162,80
246031.8241901895962656,5071784.8399538528174162,246131.8241901895962656,5071884.8399538528174162,81
246131.8241901895962656,5072584.8399538528174162,246231.8241901895962656,5072684.8399538528174162,82
246131.8241901895962656,5072484.8399538528174162,246231.8241901895962656,5072584.8399538528174162,83
246131.8241901895962656,5072384.8399538528174162,246231.8241901895962656,5072484.8399538528174162,84
246131.8241901895962656,5072284.8399538528174162,246231.8241901895962656,5072384.8399538528174162,85
246131.8241901895962656,5072184.8399538528174162,246231.8241901895962656,5072284.8399538528174162,86
246131.8241901895962656,5072084.8399538528174162,246231.8241901895962656,5072184.8399538528174162,87
246131.8241901895962656,5071984.8399538528174162,246231.8241901895962656,5072084.8399538528174162,88
246131.8241901895962656,5071884.8399538528174162,246231.8241901895962656,5071984.8399538528174162,89
246131.8241901895962656,5071784.8399538528174162,246231.8241901895962656,5071884.8399538528174162,90
246231.8241901895962656,5072584.8399538528174162,246331.8241901895962656,5072684.8399538528174162,91
246231.8241901895962656,5072484.8399538528174162,246331.8241901895962656,5072584.8399538528174162,92
246231.8241901895962656,5072384.8399538528174162,246331.8241901895962656,5072484.8399538528174162,93
246231.8241901895962656,5072284.8399538528174162,246331.8241901895962656,5072384.8399538528174162,94
246231.8241901895962656,5072184.8399538528174162,246331.8241901895962656,5072284.8399538528174162,95
